seed,x,y,z,value
0,0,0,0,0
0,1,0,0,0.76476837786825014
0,0,1,0,-0.039156140946854261
0,0,0,1,0
1,0,0,0,0
-1,0,0,0,0
42,12.5,-7.25,3.5,-0.0059747529520936841
42,-1000.125,1000.125,-500.5,0.26910522552136584
2026,3.1415926500000002,2.7182818200000001,1.4142135600000001,-0.16914435124038024
2026,16,16,8,0
2026,-16,-16,-8,-0.76476837786825247
999999999,0.5,0.5,0.5,0
-999999999,0.5,-0.5,0.5,-0.76476837786825014
7,100000,-100000,50000,-0.72561223689949439
-670617,1346.8847531817203,398.02676042070794,-1102.2862484667171,-0.93968284410435132
374463,1414.0988823963698,583.35927453057627,1901.5934121760565,0.36426172362670384
458124,541.60005950544974,-480.09769460308593,-901.02012440140959,0.7224059091172873
572322,-1695.799325375174,-1737.3724924827732,1536.7857618474322,-0.21921676485123881
879348,1084.3317339830353,-1006.5936671779325,1330.6300009288598,-0.78899788881129118
-955706,-121.91056447941028,663.76777009809155,1751.1401675302354,-0.21406541442132138
428163,224.0912107522721,776.78085425809093,1987.5212169872664,0.23035841413821878
32115,323.95874281985647,-602.70810371838616,-1180.6657276373724,-0.46748228098195338
867785,32.059747673288896,-112.36961763055864,694.50477016973048,0.39089682049123925
-89462,-795.06945837771002,-169.01635695501849,-164.49463681307597,-0.059608696229550284
-553703,945.81806850669591,-354.86615867213447,502.07666903755222,0.33615173215355743
-770580,-334.34788748602551,350.67445145259501,292.56580761754503,0.61518293733770268
-504198,750.25583890218297,602.98904515454853,-514.66008246447495,-0.15438321914168809
-772905,-794.8933002579306,-119.03257064053551,938.64181578742034,-0.20189692115819505
108168,-1972.2710665219156,-932.66197899494887,1113.0602780229765,0.15799999277687923
480647,627.82105719648393,445.9579684651236,-86.23119061496709,0.4545891906174237
-508448,648.32301515257916,-662.46266941069075,-702.43716369721335,0.28286544318749629
-3742,-1352.0289801199413,1509.9528010620772,-676.79498129222759,-0.7637734587401066
-208342,1231.9614993591999,-1935.5951327017535,993.57420955718419,-0.11840257165839427
188997,-466.3085166865111,1099.6293063115531,-801.67688429425675,0.21504804245823672
532163,1081.1544540562315,-1769.6453341212982,-1693.788924386268,-0.69752875423498206
252756,-1929.1472668453555,-1272.8328397620216,-147.22814017757236,-0.24395767472016183
-368690,-1839.780343322788,1017.4574212384173,776.45817076359378,0.034294292041081385
115783,-1664.456625457469,1537.3004767417506,881.67342562512817,0.40198077895785611
-934583,-948.60476841545153,1318.6773793968371,-1029.9290488815254,-0.073794021651832131
-597257,-1193.1128188556281,1553.4028763398715,694.16629207805693,-0.099698148391971914
-428078,1575.6366468549286,1186.1465698794814,-235.1061275880586,0.62752503347112687
338168,-1860.2077388007535,924.18045126687298,198.90124583384284,0.44049486709935537
-308196,-1950.6305342437556,-1543.7577382825348,-694.85969206557763,-0.17632500559181194
-758439,-1398.7737409425035,1947.1679925324509,-546.75243311083932,0.87887673973440339
-410552,-687.89972825207713,279.35394848179794,-277.57759296838481,0.088552476907129044
-790817,1305.9280117841822,-1306.1410044635847,-1135.8414035207488,0.4801100483860361
712162,635.06983640479086,-1016.5373332490354,-1579.8982188908292,0.13903143733663345
-241940,-928.76686515219853,-362.73490832619638,-582.85363298165225,-0.48788943351856945
95271,-662.69377501752808,1198.3722985229965,-323.36087281228367,-0.68141218738662723
466194,-71.00125879504904,1751.7873587934264,424.21553941430591,0.35631889597269056
277068,-296.97925798716238,-1541.7873429129518,-1698.1637014103799,-0.95978927320280949
-904646,-1167.5994594451431,-1769.2422005991627,-712.64270675769285,0.75205358916066223
847139,-1510.3733303752047,-1632.5211000455547,-1770.6272861731925,0.33988521735057325
618923,1826.054706617695,76.560734491555309,-148.52867710374284,0.37530578922865848
